doi,abstract,detected_compounds,detection_number,actual_compound,actual_compnum 
10.1038/s41429-018-0055-x,"Two new compounds, designated as hamuramicins A (1) and B (2), were isolated from the cultured broth of an endophytic actinomycete Allostreptomyces sp. K12-0794 by silica gel column chromatography and HPLC. The structures of 1 and 2 were elucidated as 22-membered macrolide containing triene and trienone with an alkyl side chain by spectroscopic analyses including NMR experiments. Both compounds showed growth inhibition activity against Kocuria rhizophia and Xanthomonas oryzae pv. oryzae as well as human cell line toxicity.","['Hamuramicin A', 'Hamuramicin B']",2,"['Hamuramicin A', 'Hamuramicin B']",2
10.1038/s41429-018-0060-0,"Herein, we report the characterization and antimicrobial activity of a previously unreported jadomycin (1) obtained from a culture of S. venezuelae ISP5230 with l-ornithine (Orn). 1 arises from the rearrangement of a putative five-membered ring containing jadomycin incorporating Orn, whereby intramolecular attack of the E-ring carbonyl from the δ-NH2 group of the Orn side chain results in collapse of the oxazolone ring and formation of a stable six-membered lactam. This rearrangement produces a jadomycin with a 3a hemiaminal position that is susceptible to solvolysis. A structure–activity relationship is discussed based on the antimicrobial activity of 1 compared to previously reported jadomycins, providing evidence that the presence of a 3a hemiaminal enhances activity against Gram-positive bacteria. Additionally, assays to quantify reactive oxygen species (ROS) generation and cell viability were performed using a series of nine jadomycins. Compound 1 was found to produce the highest ROS activity and to possess the greatest cytotoxicity against MDA-MB-231 breast cancer cells.",['Jadomycin'],1,['Not named'],1
10.1038/s41429-018-0058-7,"Four new compounds, phomalichenones A–D (1–4), and seven known compounds (5–11) were isolated from the cultures of an endolichenic fungus Phoma sp. EL002650. Their structures were determined by the analysis of their spectroscopic data (NMR and MS). Compounds 1 and 6 inhibited nitric oxide (NO) production in lipopolysaccharide (LPS)-stimulated RAW264.7 macrophages. In addition, compound 1 diminished the protein expression levels of inducible nitric oxide synthase (iNOS) and cyclooxygenase-2 (COX-2), and decreased the mRNA expression levels of pro-inflammatory cytokines, such as tumor necrosis factor-α (TNF-α), interleukin(IL)-1β, and IL-6.","['Phomalichenone A', 'Phomalichenone B', 'Phomalichenone C', 'Phomalichenone D']",4,"['Phomalichenone A', 'Phomalichenone B', 'Phomalichenone C', 'Phomalichenone D']",4
10.1038/s41429-018-0059-6,"A new metabolite, cyclic dipeptide, cis-(3S,8aS)-3-(3,4-dihydroxybenzyl)hexahydropyrrolo[1,2-a]pyrazine-1,4-dione, named JS-3 was isolated from Streptomyces sp. 8812 fermentation broth. Its chemical structure was established by means of spectroscopic analysis. A wide-range-screening study, which included inhibition assay of dd-carboxypeptidase/transpeptidase activity, determination of antibacterial, antifungal, and antiproliferative activities as well as free-radical scavenging was performed. To authors knowledge, this is the first isolation of such compound from natural sources and the first one from bacteria, Streptomyces.",[],0,['JS-3'],1
10.1038/s41429-018-0049-8,"A silkworm infection assay with the pathogenic fungus Rhizopus oryzae was established. Microbial culture broths were screened for anti-Rhizopus antibiotics using this assay. A new compound, tanzawaic acid R was isolated along with known and structurally related tanzawaic acids and arohynapene A from the culture broth of the hot spring-derived fungus Penicillium sp. BF-0005. The structure of tanzawaic acid R was elucidated by various spectroscopic data including 1D and 2D nuclear magnetic resonance spectroscopy. Tanzawaic acids A, B, C, and R and arohynapene A exhibited antifungal activity against R. oryzae. Tanzawaic acids A and B dose-dependently exerted therapeutic effects in the silkworm infection assay with R. oryzae.","['Tanzawaic acid A', 'Tanzawaic acid B', 'Tanzawaic acid C', 'Tanzawaic acid R']",4,['Tanzawaic acid R'],1
10.1038/s41429-018-0063-x,"Three new natural products, including a new anthraquinone derivative isoversicolorin C (1), a new xanthone analog isosecosterigmatocystin (2), and a new amino acid derivative, glulisine A (3), along with six related metabolites (4–9) were isolated from the culture broth and mycelia extracts of the mangrove-derived endophytic fungus Aspergillus nidulans MA-143 under 0.1percent ethanol stress. Their structures were elucidated by detailed analysis of their NMR spectra, ECD spectrum, and X-ray crystallographic experiments. Compounds 1 and 4 showed potent antibacterial activity against some of the tested microbes.","['Glulisine A', 'Isosecosterigmatocystin', 'Isoversicolorin C']",3,"['Isoversicolorin C', 'Isosecosterigmatocystin', 'Glulisine A']",3
10.1038/s41429-017-0001-3,"Four peptide antibiotics, named paenialvin A–D, were isolated from Paenibacillus alvei DSM 29. Mass spectrum analysis determined the molecular masses of paenialvin A–D to be 1891, 1875, 1877, and 1923 Da, respectively. Tandem mass spectra and nuclear magnetic resonance (NMR) were used to elucidate their chemical structures. Paenialvin A–D showed antimicrobial activity against most strains that were tested, including methicillin-resistant Staphalococcus aureus, Staphylococcus aureus, Bacillus subtilis, Loktanella hongkongensis, Escherichia coli, and Pseudomonas aeruginosa. In particular, the minimum inhibitory concentration of paenialvins against Staphalococcus aureus reached 0.8–3.2 μg/mL. Although they were cytotoxic against HeLa cells at a concentration of 50 μg/mL, the lack of hemolysis by paenialvins confirmed that they are potential candidates for anti-tumor drugs.","['Paenialvin A', 'Paenialvin B', 'Paenialvin C', 'Paenialvin D']",4,"['Paenialvin A', 'Paenialvin B', 'Paenialvin C', 'Paenialvin D']",4
10.1038/s41429-018-0067-6,"In our effort to find antioxidants from the higher fungi, we isolated three new compounds (1–3) with a known compound, spirobenzofuran (4), from the culture broth of Hericium coralloides. Bioassay-guided fractionation led to the isolation of these compounds, and we determined the chemical structures through spectroscopic methods. These compounds exhibited antioxidant activity in the range of IC50 values of 29-66 μM in the 2,2’-azinobis-(3-ethylbenzothiazoline-6-sulfonic acid) (ABTS) radical-scavenging assay.",['Spirobenzofuran'],1,"['Hydrospirobenzofuran', 'Sesquibenzopyran', 'Coralcuparene']",3
10.1038/s41429-018-0065-8,"Three new cyathane diterpenes erinacines T–V (1–3), and two known cyathane diterpenes erinacine A (4) and erinacine P (5) were isolated from the liquid cultures of Hericium erinaceus. The structures of 1–3 were determined by extensive spectroscopic analysis. All isolated compounds were evaluated for the cytotoxicity, and neurite-promoting activities using PC12 cell line. Compounds 1–3, and 5 exhibited pronounced neurite outgrowth-promoting effects on PC12 cells in the range of 2.5−10 μM. Compound 4 showed weak cytotoxicity against PC12 cells with IC50 of 73.7 μM.","['Erinacine A', 'Erinacine P', 'Erinacine T', 'Erinacine U', 'Erinacine V']",5,"['Erinacine U', 'Erinacine T', 'Erinacine V']",3
10.1016/j.ymben.2018.03.010,"Specialized metabolites from bacteria are an important source of inspiration for drug development. The genes required for the biosynthesis of such metabolites in bacteria are usually organized in so-called biosynthetic gene clusters (BGCs). Using modern bioinformatic tools, the wealth of genomic data can be scanned for such BGCs and the expected products can often structurally be predicted in silico. This facilitates the directed discovery of putatively novel bacterial metabolites. However, the production of these molecules often requires genetic manipulation of the BGC for activation or the expression of the pathway in a heterologous host. The latter necessitates the transplantation of the BGC into a suitable expression system. To achieve this goal, powerful cloning strategies based on in vivo homologous recombination have recently been developed. This includes LCHR and LLHR in E. coli as well as TAR cloning in yeast. Here, we present Direct Pathway Cloning (DiPaC) as an efficient complementary BGC capturing strategy that relies on long-amplicon PCR and in vitro DNA assembly. This straightforward approach facilitates full pathway assembly, BGC refactoring and direct transfer into any vector backbone in vitro. The broad applicability and efficiency of DiPaC is demonstrated by the discovery of a new phenazine from Serratia fonticola, the first heterologous production of anabaenopeptins from Nostoc punctiforme and the transfer of the native erythromycin BGC from Saccharopolyspora erythraea into Streptomyces. Due to its simplicity, we envisage DiPaC to become an essential method for BGC cloning and metabolic pathways construction with significant applications in metabolic engineering, synthetic biology and biotechnology.",[],0,['Fontizine A'],1
10.3389/fmicb.2018.00690,"A novel cyclic peptide compound, KK-1, was originally isolated from the plant-pathogenic fungus ",[],0,['KK-1'],1
10.1080/14786419.2017.1338285,"A new compound 6-formamide-chetomin (1) together with chetomin (2) was isolated from solid fermentation products of the endophytic fungus Chaetomium sp. M336, which were elucidated by extensive spectroscopic analyses, including 1D and 2D NMR, and HR-ESI-MS experiments. The bioassay result showed that compound 1 had strong antibacterial activity against Escherichia coli, Staphylococcus aureus, Salmonella typhimurium ATCC 6539 and Enterococcus faecalis with minimum inhibitory concentration (MIC) value of 0.78 μg/mL; meanwhile it exhibited strong cytotoxicity with IC50 values of 21.6–27.1 nM against cell lines HeLa, SGC-7901 and A549.","['6-formamide-chetomin', 'Chetomin']",2,['6-formamide-chetomin'],1
10.1021/jacs.7b12240,"Methane-oxidizing bacteria, aerobes that utilize methane as their sole carbon and energy source, are being increasingly studied for their environmentally significant ability to remove methane from the atmosphere. Their genomes indicate that they also have a robust and unusual secondary metabolism. Bioinformatic analysis of the Methylobacter tundripaludum genome identified biosynthetic gene clusters for several intriguing metabolites, and this report discloses the structural and genetic characterization of tundrenone, one of these metabolites. Tundrenone is a highly oxidized metabolite that incorporates both a modified bicyclic chorismate-derived fragment and a modified lipid tail bearing a β,γ-unsaturated α-hydroxy ketone. Tundrenone has been genetically linked to its biosynthetic gene cluster, and quorum sensing activates its production. M. tundripaludum's genome and tundrenone's discovery support the idea that additional studies of methane-oxidizing bacteria will reveal new naturally occurring molecular scaffolds and the biosynthetic pathways that produce them.",[],0,['Tundrenone'],1
10.1038/s41429-018-0034-2,"Two new meroterpenoid-type fungal metabolites, furanoaustinol (1) and 7-acetoxydehydroaustinol (2), were isolated from the ethyl acetate extract of a marine-derived fungal strain Penicillium sp. SF-5497, along with eight (3-10) known meroterpenoids. Their structures were elucidated mainly based on the analysis of their NMR (1D and 2D) and MS data. Particularly, the novel meroterpenoid, furanoaustinol (1), belonging to the austin group, was identified to possess an unprecedented hexacyclic ring system. Biological evaluation of these compounds revealed that furanoaustinol (1) weakly inhibited the activity of protein tyrosine phosphatase 1B in a dose-dependent manner with an IC50 value of 77.2 μM. In addition, 7-acetoxydehydroaustinol (2) and four other known meroterpenoids (5, 7, 9, and 10) weakly suppressed the overproduction of nitric oxide in lipopolysaccharide-challenged BV2 microglial cells with IC50 values of 61.0, 30.1, 58.3, 37.6, and 40.2 μM, respectively.","['7-acetoxydehydroaustinol', 'Furanoaustinol']",2,"['7-acetoxydehydroaustinol', 'Furanoaustinol']",2
10.1080/14786419.2017.1335730,"One new alkaloid, named as acremolin C (1), was isolated from static culture of Antarctic fungus, Aspergillus sydowii SP-1, in an investigation of the antimicrobial constituents of this Antarctic microorganism, and its structure was determined by spectroscopic methods. Additionally, four known compounds, cyclo-(L-Trp-L-Phe) (2), 4-hydroxyphenylacetic acid (3), (7S)-(+)-hydroxysydonic acid (4) and (7S, 11S)-(+)-12-hydroxysydonic acid (5), were isolated and identified. Biological studies disclosed that compounds 2, 4 and 5 showed moderate inhibitions against methicillin-resistant Staphylococcus aureus (MRSA) and methicillin-resistant Staphylococcus epidermidis (MRSE) as comparing to tigecycline, while compound 1 displayed weak inhibition activities against MRSA and MRSE.","['(7s)-(+)-hydroxysydonic acid', '4-hydroxyphenylacetic acid', 'Acremolin C', 'Cyclo-(l-trp-l-phe)']",4,['Acremolin C'],1
10.1038/s41429-018-0028-0,"In a search for compounds interacting with ergosterol resin, a new compound named dipyrimicin B was isolated from a rare actinomycete strain, Amycolatopsis sp. K16-0194. In addition, another analog, dipyrimicin A, which does not interact with the resin, was also discovered. The structures of the two dipyrimicins were established by comprehensive 1D and 2D NMR and MS analyses and found to contain a unique core structure, a 2,2′-bipyridine skeleton. Dipyrimicin A showed strong antimicrobial and cytotoxic activity, whereas dipyrimicin B displayed distinctly poor antimicrobial and cytotoxic activities.",[],0,"['Dipyrimicin A', 'Dipyrimicin B']",2
10.1080/14786419.2017.1329732,"A novel anthraquinone, 2-(dimethoxymethyl)-1-hydroxyanthracene-9,10-dione (1), together with nine known compounds (2–10), were isolated from the fermentation of Aspergillus versicolor derived from deep sea sediment. Their structures were established through spectroscopic methods. Compound 1 exhibited strong inhibitory activities against MRSA ATCC 43300 and MRSA CGMCC 1.12409 (with MIC values of 3.9 and 7.8 μg/mL respectively) and moderate activities against tested strains of Vibrio (with MIC values ranging from 15.6 to 62.5 μg/mL). Compound 1 was subjected to molecular docking studies for inhibition of topoisomerase IV and AmpC β-lactamase enzymes indicating its usefulness as antimicrobial agent.","['2-(dimethoxymethyl)-1-hydroxyanthracene-9,10-dione']",1,"['2-(dimethoxymethyl)-1-hydroxyanthracene-9,10-dione']",1
10.1080/14786419.2017.1314285,"Further chemical study of secondary metabolites from the soil actinomycete Streptomyces sp. WS-13394 resulted in the isolation of four new alkylated anthraquinone analogues (5–8). Their structures were elucidated on the basis of extensive spectroscopic analysis, including HR-ESI-MS, 1D and 2D NMR. The new compounds, together with analogues obtained before (1–4), were tested for their in vitro cytotoxicity against Huh-7 and SGC-7901.",[],0,"['1,4,6-trihydroxy-8-hexyl-9,10-anthraquinone', '1,4,6-trihydroxy-8-pentacarboxyl-9,10-anthraquinone', '1,4,6-trihydroxy-8-(2′-oxopentyl)-9,10-anthraquinone', '1,4,6-trihydroxy-8-(2′-oxohexyl)-9,10-anthraquinone']",4
10.1080/14786419.2017.1354188,"A fermentation of marine fungus Penicillium janthinellum DT-F29 on solid rice medium led to the isolation of three new compounds, brefeldin D (1) and penialidins D-E (5–6), along with other five known brefeldins and penialidins. The structures of above compounds were determined on the basis of MS and NMR analysis.","['Brefeldin D', 'Penialidin D', 'Penialidin E']",3,"['Brefeldin D', 'Penialidin D', 'Penialidin E']",3
10.1038/s41429-018-0038-y,"Two new antibiotics, designated pyrizomicin A and B, were isolated from the cultured broth of a rare actinomycete strain, Lechevalieria aerocolonigenes K10-0216, by silica gel and HPLC purification. The chemical structures of pyrizomicin A and B were elucidated as new thiazolyl pyridine compounds by nuclear magnetic resonance and mass spectrometry. Pyrizomicin A and B both showed antimicrobial activity.","['Pyrizomicin A', 'Pyrizomicin B']",2,"['Pyrizomicin A', 'Pyrizomicin B']",2
10.1080/14786419.2017.1353508,"Roccellatol, a new (2′R,3′S)-erythrityl-2,6-dihydroxy-4-methylbenzoate was isolated along with nine known compounds from the fruticose lichen, Roccella montagnei Bel. em. D.D. Awasthi. The structure of the new compound was elucidated by detailed spectroscopic analysis (1H, 13C, DEPT and HRMS). The present isolation of roccellatol (10) assumes significance as the esters of p-orcellinic acid are rare in lichens. Interestingly, among the known compounds, (+)-montagnetol (9) was now isolated in very large quantity (4.66percent).","['(+)-montagnetol', 'Roccellatol']",2,['Roccellatol'],1
10.1038/s41429-018-0039-x,"Mayamycin B, a new antibacterial type II polyketide, together with its known congener mayamycin A, were isolated from Streptomyces sp. 120454. The structure of new compound was elucidated by extensive spectroscopic analysis and comparison with literature data. Sequencing and bioinformatics analysis revealed the biosynthetic gene cluster for mayamycins A and B.","['Mayamycin A', 'Mayamycin B']",2,['Mayamycin B'],1
10.1080/14786419.2017.1346642,"A new diketopiperazine dimer designated as SF5280-415 (1) was isolated from an EtOAc extract of the marine-derived fungus Aspergillus sp. SF-5280 by various chromatographic methods. The structure of 1 was mainly determined by analysis of the NMR spectroscopic data and MS data, along with Marfey’s method. This compound is a new diastereoisomer of known bispyrrolidinoindoline diketopiperazine alkaloid WIN 64745, which possesses unique architecture biosynthetically derived from an indole oxidation reaction of tryptophan.",['Sf5280-415'],1,['SF5280-415'],1
10.1038/s41467-018-03690-2,"Members of the diazeniumdiolate class of natural compounds show potential for drug development because of their antifungal, antibacterial, antiviral, and antitumor activities. Yet, their biosynthesis has remained elusive to date. Here, we identify a gene cluster directing the biosynthesis of the diazeniumdiolate compound fragin in Burkholderia cenocepacia H111. We provide evidence that fragin is a metallophore and that metal chelation is the molecular basis of its antifungal activity. A subset of the fragin biosynthetic genes is involved in the synthesis of a previously undescribed cell-to-cell signal molecule, valdiazen. RNA-Seq analyses reveal that valdiazen controls fragin biosynthesis and affects the expression of more than 100 genes. Homologs of the valdiazen biosynthesis genes are found in various bacteria, suggesting that valdiazen-like compounds may constitute a new class of signal molecules. We use structural information, in silico prediction of enzymatic functions and biochemical data to propose a biosynthesis route for fragin and valdiazen.",[],0,['Valdiazen'],1
10.1038/s41429-018-0040-4,"New polycyclic tetramate macrolactams, Umezawamides A (1) and B (2) were isolated from a combined-culture of Umezawaea sp. RD066910 and mycolic-acid containing bacterium Tsukamurella pulmonis TP-B0596. Their planar structures and partial stereochemistries were determined based on the spectroscopic analysis, MMFF conformational search, and ECD calculations. Umezawamides are the first secondary metabolites isolated from the genus Umezawaea and they exhibited cytotoxicities to P388 murine leukemia cells. Furthermore, umezawamide A (1) showed growth inhibitory activity against Candida albicans.","['Umezawamide A', 'Umezawamide B']",2,"['Umezawamide A', 'Umezawamide B']",2
10.1021/acs.jnatprod.7b00954,"The cell extracts of two cultured freshwater Nostoc spp., UIC 10279 and UIC 10366, both from the suburbs of Chicago, showed antiproliferative activity against MDA-MB-231 and MDA-MB-435 cancer cell lines. Bioassay-guided fractionation led to the isolation of five glycosylated cylindrocyclophanes, named ribocyclophanes A-E (1-5) and cylindrocyclophane D (6). The structure determination was carried out by HRESIMS and 1D and 2D NMR analyses and confirmed by single-crystal X-ray crystallography. The structures of ribocyclophanes A-E (1-5) contain a β-d-ribopyranose glycone in the rare ","['Cylindrocyclophane D', 'Ribocyclophane A', 'Ribocyclophane B', 'Ribocyclophane C', 'Ribocyclophane D', 'Ribocyclophane E']",6,"['Ribocyclophane C', 'Ribocyclophane B', 'Ribocyclophane E', 'Ribocyclophane D', 'Ribocyclophane A']",5
10.1080/14786419.2017.1346641,"One new cytochalasin metabolite [11]-cytochalasa-5(6),13-diene-1,21-dione-7,18-dihydroxy-16,18-dimethyl-10-phenyl-(7S*,13E,16S*,18R*) (1), together with three known compounds (2–4) were obtained from the EtOAc extract of the endophytic fungus Daldinia eschscholtzii HJ001 isolated from the mangrove Brguiera sexangula var. rhynchopetala collected in the South China Sea. Their structures were elucidated by the detailed analysis of comprehensive spectroscopic data. Compounds 1 and 2 were evaluated for their antibacterial and cytotoxic activities.",[],0,"['[11]-cytochalasa-5(6),13-diene-1,21-dione-7,18-dihydroxy-16,18-dimethyl-10-phenyl-(7S*,13E,16S*,18R*)']",1
10.1080/14786419.2017.1342083,"Two salicylaldehyde derivatives (1 and 2), a hydroxymethylphenol (3), five dihydroisobenzofuran (4–8) derivatives, and a 5-chloro-3-deoxyisoochracinic acid (9), together with a known 3-deoxyisoochracinic acid (10) were isolated from the marine fungus Zopfiella marina BCC 18240 (or NBRC 30420). The structures of these compounds were elucidated by extensive spectroscopic analysis. Compound 1 showed weak antituberculous activity against Mycobacterium tuberculosis H37Ra, and antibacterial activity against Bacillus cereus with MIC values of 25 and 12.5 μg/mL, respectively.","['3-deoxyisoochracinic acid', '5-chloro-3-deoxyisoochracinic acid', 'Dihydroisobenzofuran', 'Hydroxymethylphenol']",4,"['Not named', 'Not named', 'Not named', 'Not named', 'Not named', 'Not named', 'Not named', 'Not named', 'Not named']",9
10.1038/s41429-018-0037-z,"Endophytic fungi from desert, arid, and grassland areas are an ecologically important but unique group with poor chemical investigation. During our ongoing study to mine bioactive secondary metabolites from unique fungal environments, a new shunt product spiciferone F (1) including two new analogs spiciferones G (2) and H (3) together with four known ones spiciferone A (4), spiciferol A (5), 6, and 7 were isolated from endophytic fungus Phoma betae inhabiting in plant Kalidium foliatum (Pall.) Moq from Ningxia Province of West China. The planar, relative, and absolute configurations of these new compounds were elucidated by nuclear magnetic resonance, high-resolution electrospray ionization mass spectrometry, and electronic circular dichroism experiments. According to the shunt products, intermediates and analogs isolated from this endophytic fungus, the possible biosynthetic pathway of spiciferones was reconstructed. Compounds 1-7 were evaluated cytotoxic activities against three cancer cell lines HCT 116, HeLa, and MCF7, and only did 1 display strong biological effect against MCF7 with a half-maximal inhibitory concentration value at 7.73 ± 0.11 μM compared with the cis-platinum (14.32 ± 1.01 μM).","['Spiciferol A', 'Spiciferone A', 'Spiciferone F', 'Spiciferone G', 'Spiciferone H']",5,"['Spiciferone F', 'Spiciferone G', 'Spiciferone H']",3
10.1080/14786419.2017.1338286,"Three new polyketides named trichbenzoisochromen A (1), 5,7-dihydroxy-3-methyl -2-(2-oxopropyl)naphthalene-1,4-dione (2) and 7-acetyl-1,3,6-trihydroxyanthracene-9,10- dione (3) together with six known compounds (4–9) were isolated from a sponge-derived fungus Trichoderma sp. SCSIO41004. The structures of three new polyketides (1–3) were determined by the extensive spectroscopic analysis, including 1D, 2D NMR and HRESIMS data. The absolute configuration of compound 1 was confirmed by the specific optical rotation value and CD spectra analyses. Compound 4 exhibited significant inhibitory activity against EV71 with the IC50 value of 25.7 μM.","['-2-(2-oxopropyl)naphthalene-1,4-dione', 'Trichbenzoisochromen A']",2,"['5,7-dihydroxy-3-methyl-2-(2-oxopropyl)naphthalene-1,4-dione', '7-acetyl-1,3,6-trihydroxyanthracene-9,10-dione', 'Trichbenzoisochromen A']",3
10.1080/14786419.2017.1332616,"Two new polyketides, (5R,7R,9R)-7,9-dihydroxy-5-decanolide and (4E,6R,9R)- 6,9-dihydroxydec-4-enoic acid (2), were isolated from rice cultures of Cylindrocarpon sp. SY-39 discovered during screening of driftwood at a Shonai coast area in Yamagata, Japan. The structures of 1 and 2 were determined using a variety of spectroscopic methods. Compound 2 exhibited moderate antimicrobial activity against Staphylococcus aureus NBRC 13276 and Aspergillus clavatus F 318a at a concentration of 50 μg per disk.","['6,9-dihydroxydec-4-enoic acid']",1,"['(5R,7R,9R)-7,9-dihydroxy-5-decanolide', '(4E,6R,9R)-dihydroxydec-4-enoic acid ']",2
10.1080/14786419.2017.1326490,"A new diphenyl ether 3-methylpentyl-2, 4-dichloroasterrate (2), along with a known diphenyl ether butyl 2, 4-dichloroasterrate (1) were isolated from the metabolites of a wetland fungus Aspergillus flavipes. PJ03-11. The structures of 1 and 2 were determined by extensive NMR and HR–ESI–MS experiments. Compounds 1 and 2 showed weak cytotoxic activity, but both of them showed no antimicrobial activity.",['4-dichloroasterrate'],1,"['3-methylpentyl-2, 4-dichloroasterrate']",1
10.1128/AEM.02246-17,"Chrysogine is a yellow pigment produced by Penicillium chrysogenum and other filamentous fungi. Although the pigment was first isolated in 1973, its biosynthetic pathway has so far not been resolved. Here, we show that deletion of the highly expressed nonribosomal peptide synthetase (NRPS) gene Pc21g12630 (chyA) resulted in a decrease in the production of chrysogine and 13 related compounds in the culture broth of P. chrysogenum. Each of the genes of the chyAcontaining gene cluster was individually deleted, and corresponding mutants were examined by metabolic profiling in order to elucidate their function. The data suggest that the NRPS ChyA mediates the condensation of anthranilic acid and alanine into the intermediate 2-(2-aminopropanamido)benzoic acid, which was verified by feeding experiments of a ΔchyA strain with the chemically synthesized product. The remainder of the pathway is highly branched, yielding at least 13 chrysogine-related compounds.",[],0,"['Not named', 'Not named', 'Not named']",3
10.1128/AEM.01125-18,"Microorganisms within microbial communities respond to environmental challenges by producing biologically active secondary metabolites, yet the majority of these small molecules remain unidentified. We have previously demonstrated that secondary metabolite biosynthesis in actinomycetes can be activated by model environmental chemical and biological stimuli, and metabolites can be identified by comparative metabolomics analyses under different stimulus conditions. Here, we surveyed the secondary metabolite productivity of a group of 20 phylogenetically diverse actinobacteria isolated from hypogean (cave) environments by applying a battery of stimuli consisting of exposure to antibiotics, metals, and mixed microbial culture. Comparative metabolomics was used to reveal secondary metabolite responses from stimuli. These analyses revealed substantial changes in global metabolomic dynamics, with over 30% of metabolomic features increasing more than 10- fold under at least one stimulus condition. Selected features were isolated and identified via nuclear magnetic resonance (NMR), revealing several known secondary metabolite families, including the tetarimycins, aloesaponarins, hypogeamicins, actinomycins, and propeptins. One prioritized metabolite was identified to be a previously unreported aminopolyol polyketide, funisamine, produced by a cave isolate of Streptosporangium when exposed to mixed culture. The production of funisamine was most significantly increased in mixed culture with Bacillus species. The biosynthetic gene cluster responsible for the production of funisamine was identified via genomic sequencing of the producing strain, Streptosporangium sp. strain KDCAGE35, which facilitated a deduction of its biosynthesis. Together, these data demonstrate that comparative metabolomics can reveal the stimulus-induced production of natural products from diverse microbial phylogenies.",[],0,['Funisamine'],1
10.1016/j.chembiol.2018.02.013,"Chemical and biochemical analyses of one of the most basic nonribosomal peptide synthetases (NRPS) from a Pseudomonas fluorescens strain revealed its striking plasticity. Determination of the potential substrate scope enabled us to anticipate novel secondary metabolites that could subsequently be isolated and tested for their bioactivities. Detailed analyses of the monomodular pyreudione synthetase showed that the biosynthesis of the bacterial pyreudione alkaloids does not require additional biosynthetic enzymes. Heterologous expression of a similar and functional, yet cryptic, NRPS of Pseudomonas entomophila was successful and allowed us to perform a phylogenetic analysis of their thioesterase domains.",[],0,['Pyreudione E'],1
10.1021/acs.jafc.8b04964,"New compounds, 11,12-epoxyjanthitrem B (1) and 11,12-epoxyjanthitrem C (4), were isolated from Penicillium janthinellum and given the trivial names janthitrem A and janthitrem D, respectively. The known compounds janthitrem B (2) and janthitrem C (3) were also isolated, and NMR assignments were made for all four compounds. This showed that the previously published NMR assignments for 3 needed considerable revision. 1 and 2 were used as model compounds for the more complex, and highly unstable, epoxyjanthitrems that have been isolated from perennial ryegrass infected with the AR37 endophyte and which contain an epoxide group analogous to that of 1. Both 1 and 2 induced tremors in mice and reduced weight gain and food consumption of porina (Wiseana cervinata) larvae, although 1 showed greater potency. This shows the importance of the epoxy group and suggests that epoxyjanthitrems are likely to be involved in the observed effects of the AR37 endophyte on livestock and insects.","['11,12-epoxyjanthitrem B', '11,12-epoxyjanthitrem C', 'Janthitrem B', 'Janthitrem C']",4,"['Janthitrem A', 'Janthitrem D']",2
10.1021/acs.jnatprod.8b00323,"A potent antiplasmodial polycyclic xanthone, MDN-0185 (1), was isolated from an unidentified species of the genus Micromonospora. The planar structure of 1 was established as a seven-ring polycyclic xanthone with partial structures very similar to two known natural products, namely, xantholipin and Sch 54445. Using ROESY correlations, the relative stereochemistry of the two independent stereoclusters of compound 1 could be determined. Mosher analysis and comparison of the specific rotation of compound 1 with that of xantholipin allowed the determination of its absolute configuration. Compound 1 exhibited an IC50 of 9 nM against Plasmodium falciparum 3D7 parasites.",['Mdn-0185'],1,['MDN-0185'],1
10.1021/acs.jafc.8b05004,"Two new phytotoxic tetrasubstituted 1,4-naphthoquinones, named diploquinones A and B, were isolated together with vanillic acid from Diplodia mutila (DAR78993), a grapevine pathogen involved in Botryosphaeria dieback in Australia. Diploquinones A and B were characterized as 6,7-dihydroxy-2-methoxy-5-methylnaphthalene-1,4-dione and 3,5,7-trihydroxy-2-methoxynaphthalene-1,4-dione using spectroscopic methods (essentially 1D and 2D 1H and 13C NMR and HR ESIMS). The already known vanillic acid was isolated for the first time as fungal phytotoxin and as metabolite of D. mutila. The three compounds were assayed on detached grapevine leaves (Vitis vinifera cv. Shiraz) at concentrations of 10-3 M and 2.5 × 10-3 M. Vanillic acid showed the highest phytotoxic effect on grapevine leaves irrespective of the tested concentration, while diploquinones A and B showed varying degrees of toxicity.","['Diploquinone A', 'Diploquinone B']",2,"['Diploquinone B', 'Diploquinone A']",2
10.1039/c8ob01515e,"The rice seedling blight fungus Rhizopus microsporus weakens or kills plants by means of a potent toxin produced by endobacteria (Burkholderia rhizoxinica) that live within the fungal hyphae. The success of the highly attuned microbial interaction is partly based on the bacteria's ability to roam and re-colonize the fungal host. Yet, apart from the toxin, chemical mediators of the symbiosis have remained elusive. By genome mining and comparison we identified a cryptic NRPS gene cluster that is conserved among all sequenced Rhizopus endosymbionts. Metabolic profiling and targeted gene inactivation led to the discovery of a novel linear lipopeptide, holrhizin A, which was fully characterized. Through in vitro and in vivo assays we found that holrhizin acts (A) as a biosurfactant to reduce surface tension, (B) influences the formation of mature biofilms and thus cell motility behavior that ultimately supports the bacterial cells to (C) colonize and invade the fungal host, consequently supporting the re-establishment of the exceptional Burkholderia-Rhizopus symbiosis. We not only unveil structure and function of an linear lipopeptide from endofungal bacteria but also provide a functional link between the symbiont's orphan NRPS genes and a chemical mediator that promotes bacterial invasion into the fungal host.",[],0,['Holrhizin A'],1
